fecha,hora,prediccion_frio_kw,y_true
2023-07-12,23:59:00,33425.73454854416,33878.0
2023-07-13,23:59:00,30780.215155509755,27731.0
2023-07-14,23:59:00,27539.372003434142,25188.0
2023-07-15,23:59:00,28353.982966694024,23684.0
2023-07-16,23:59:00,25594.53429893069,26929.0
2023-07-17,23:59:00,28461.19434613183,26599.0
2023-07-18,23:59:00,28377.88719591825,35719.0
2023-07-19,23:59:00,33413.96221560705,29532.0
2023-07-20,23:59:00,28716.106026836194,26624.0
2023-07-21,23:59:00,23621.837019723975,26288.0
2023-07-22,23:59:00,28170.121502592563,29130.0
2023-07-23,23:59:00,31502.53400039049,24129.0
2023-07-24,23:59:00,26416.616985836,21173.0
2023-07-25,23:59:00,25176.91136493835,28163.0
2023-07-26,23:59:00,29492.313608293036,29873.0
2023-07-27,23:59:00,29610.364141869857,27124.0
2023-07-28,23:59:00,25618.845406365188,26435.0
2023-07-29,23:59:00,26370.38634482211,30656.0
2023-07-30,23:59:00,28960.580884649182,29321.0
2023-07-31,23:59:00,30029.164835641062,38215.0
2023-08-01,23:59:00,34183.97907778654,30892.0
2023-08-02,23:59:00,30902.86396354277,16048.0
2023-08-03,23:59:00,23760.87558273749,30221.0
2023-08-04,23:59:00,28293.297888859102,34544.0
2023-08-05,23:59:00,33251.538454537666,37221.0
2023-08-06,23:59:00,34246.65100284482,30057.0
2023-08-07,23:59:00,31297.987179423057,32815.0
2023-08-08,23:59:00,33783.76740669198,30317.0
2023-08-09,23:59:00,33901.588275942224,24875.0
2023-08-10,23:59:00,28141.65687708815,21495.0
2023-08-11,23:59:00,24444.485736160383,30538.0
2023-08-12,23:59:00,32504.203254215674,29992.0
2023-08-13,23:59:00,32501.888526850027,27190.0
2023-08-14,23:59:00,29120.243219631186,28204.0
2023-08-15,23:59:00,29140.979115324182,26890.0
2023-08-16,23:59:00,28041.865879858746,28819.0
2023-08-17,23:59:00,28069.500479983748,21224.0
2023-08-18,23:59:00,22402.774300624184,26414.0
2023-08-19,23:59:00,27391.761441655086,31225.0
2023-08-20,23:59:00,31667.259206415416,33331.0
2023-08-21,23:59:00,32840.32379755033,25259.0
2023-08-22,23:59:00,26882.144553456466,19075.0
2023-08-23,23:59:00,22930.733700387736,32588.0
2023-08-24,23:59:00,28959.527224307316,21782.0
2023-08-25,23:59:00,23285.23919702795,22886.0
2023-08-26,23:59:00,25520.030084857648,21794.0
2023-08-27,23:59:00,25866.260817829054,25125.0
2023-08-28,23:59:00,26925.451566772896,31666.0
